date,open,high,low,close,volume,average,barCount,ATR_14,SMA_200,WILLR_10
2025-11-12 11:20:00-05:00,619.06,619.3,618.75,618.89,406376.0,619.054,3388,1.099468743123032,,-66.78832116788449
2025-11-12 11:25:00-05:00,618.89,620.2,618.84,620.03,495284.0,619.502,4315,1.118078118614245,,-25.182481751826725
2025-11-12 11:30:00-05:00,620.04,620.66,619.67,619.91,598664.0,620.245,4865,1.108929681570371,,-29.562043795622493
2025-11-12 11:35:00-05:00,619.93,620.56,619.77,619.79,352538.0,620.145,3334,1.0861489900296275,,-32.46268656716496
2025-11-12 11:40:00-05:00,619.79,619.98,619.18,619.25,345711.0,619.583,2918,1.065709776456088,,-52.611940298507264
2025-11-12 11:45:00-05:00,619.26,619.67,617.81,618.24,618605.0,618.566,5066,1.1224447924235113,,-84.91228070175228
2025-11-12 11:50:00-05:00,618.25,619.2,618.25,618.49,513289.0,618.706,4456,1.1108415929646918,,-76.14035087719093
2025-11-12 11:55:00-05:00,618.51,619.5,618.47,618.85,329063.0,618.967,2720,1.1050671934672118,,-63.50877192982214
2025-11-12 12:00:00-05:00,618.84,619.09,618.57,619.01,242123.0,618.82,2283,1.063276679648124,,-57.894736842104
2025-11-12 12:05:00-05:00,619.02,619.66,618.96,619.01,383759.0,619.301,3316,1.0373283453875388,,-57.894736842104
2025-11-12 12:10:00-05:00,619.02,619.47,618.56,619.4,344763.0,619.073,3014,1.028233463574149,,-44.2105263157888
2025-11-12 12:15:00-05:00,619.4,619.9,618.6,618.75,383648.0,619.191,3176,1.0476453590331352,,-67.01754385964746
2025-11-12 12:20:00-05:00,618.79,619.67,618.71,619.4,290992.0,619.315,2425,1.0413849762450484,,-42.18181818181702
2025-11-12 12:25:00-05:00,619.41,619.7,619.14,619.43,178725.0,619.4,1669,1.007000335084692,,-25.34562211981796
2025-11-12 12:30:00-05:00,619.41,619.8,619.34,619.74,192008.0,619.575,1825,0.9679288825786372,,-7.655502392342861
2025-11-12 12:35:00-05:00,619.75,620.88,619.7,620.72,377573.0,620.303,3224,0.9830768195373024,,-6.083650190112866
2025-11-12 12:40:00-05:00,620.71,621.16,620.34,620.38,451403.0,620.847,3603,0.9714284752846336,,-28.996282527880663
2025-11-12 12:45:00-05:00,620.4,620.77,619.75,619.84,344980.0,620.244,3413,0.9748978699071584,,-50.76923076922788
2025-11-12 12:50:00-05:00,619.84,620.07,619.31,619.9,356301.0,619.669,3252,0.9595480220566543,,-48.46153846153769
2025-11-12 12:55:00-05:00,619.88,620.91,619.7,620.71,316985.0,620.432,2888,0.9774374490526022,,-17.307692307689535
2025-11-12 13:00:00-05:00,620.72,620.88,620.48,620.82,384444.0,620.708,3455,0.9361919169774148,,-13.28124999999708
2025-11-12 13:05:00-05:00,620.8,620.86,620.12,620.15,319503.0,620.572,3331,0.9221782086218856,,-41.22448979591914
2025-11-12 13:10:00-05:00,620.19,620.83,620.1,620.8,296846.0,620.415,3054,0.9084511937203238,,-17.82178217821866
2025-11-12 13:15:00-05:00,620.78,621.18,620.71,621.07,298536.0,620.955,2899,0.877133251311723,,-5.88235294117111
2025-11-12 13:20:00-05:00,621.06,621.06,620.53,620.72,347147.0,620.747,3147,0.8530523047894627,,-24.598930481279226
2025-11-12 13:25:00-05:00,620.73,621.01,620.31,620.75,314130.0,620.651,2466,0.8421199973045044,,-22.994652406414385
2025-11-12 13:30:00-05:00,620.73,621.09,620.58,620.8,386651.0,620.841,3508,0.8183971403541821,,-20.320855614972967
2025-11-12 13:35:00-05:00,620.8,621.13,620.62,621.11,238225.0,620.867,2178,0.7963687731860256,,-3.743315508017975
2025-11-12 13:40:00-05:00,621.11,621.41,620.72,620.76,347320.0,621.141,3004,0.7887710036727339,,-38.01169590643314
2025-11-12 13:45:00-05:00,620.76,621.15,620.2,620.35,364161.0,620.508,2918,0.800287360553248,,-80.91603053435034
2025-11-12 13:50:00-05:00,620.35,620.95,620.35,620.75,257284.0,620.712,2020,0.7859811205137319,,-50.38167938931264
2025-11-12 13:55:00-05:00,620.74,621.02,620.71,620.81,221798.0,620.874,1701,0.7519824690484614,,-45.80152671756089
2025-11-12 14:00:00-05:00,620.82,621.1,620.61,620.77,270250.0,620.86,2037,0.7332694355450007,,-52.89256198347332
2025-11-12 14:05:00-05:00,620.75,620.91,620.32,620.88,285163.0,620.611,2264,0.7230359044346376,,-43.80165289256253
2025-11-12 14:10:00-05:00,620.88,620.89,620.26,620.31,228606.0,620.595,2167,0.716390482689306,,-90.9090909090986
2025-11-12 14:15:00-05:00,620.31,620.41,620.01,620.29,295225.0,620.187,2782,0.6937911624972112,,-80.00000000000162
2025-11-12 14:20:00-05:00,620.28,620.63,620.07,620.17,227545.0,620.317,2211,0.6842346508902637,,-88.57142857143066
2025-11-12 14:25:00-05:00,620.18,620.62,619.71,620.02,261952.0,620.204,2399,0.7003607472552426,,-81.76470588235543
2025-11-12 14:30:00-05:00,620.03,620.12,619.36,619.92,405009.0,619.679,3698,0.7046206938798675,,-68.71508379888509
2025-11-12 14:35:00-05:00,619.93,620.33,619.78,620.19,236987.0,620.103,2329,0.6935763586027389,,-52.29885057471054
2025-11-12 14:40:00-05:00,620.19,620.44,619.88,620.07,256316.0,620.204,2058,0.684035190131119,,-59.1954022988487
2025-11-12 14:45:00-05:00,620.08,620.43,619.95,620.02,225071.0,620.194,2002,0.6694612479788894,,-62.06896551724341
2025-11-12 14:50:00-05:00,620.02,620.45,619.83,620.42,260192.0,620.113,2141,0.6659283016946833,,-31.612903225807965
