date,open,high,low,close,volume,average,barCount
2025-12-01 09:30:00-05:00,613.61,614.68,613.13,614.68,1646778.0,613.969,13388
2025-12-01 09:35:00-05:00,614.69,615.18,613.76,613.76,1196334.0,614.611,10987
2025-12-01 09:40:00-05:00,613.75,614.34,612.52,613.42,941699.0,613.363,8860
2025-12-01 09:45:00-05:00,613.4,615.44,613.2,614.64,988322.0,614.507,8740
2025-12-01 09:50:00-05:00,614.63,615.85,614.54,615.83,736594.0,615.248,7179
2025-12-01 09:55:00-05:00,615.83,616.63,615.59,616.28,851229.0,616.112,7738
2025-12-01 10:00:00-05:00,616.28,616.63,615.7,615.91,755744.0,616.166,7265
2025-12-01 10:05:00-05:00,615.9,616.6,615.5,616.26,689460.0,616.144,6863
2025-12-01 10:10:00-05:00,616.24,616.86,615.94,616.03,508112.0,616.332,3840
2025-12-01 10:15:00-05:00,616.05,616.5,615.61,616.26,397252.0,616.046,2978
2025-12-01 10:20:00-05:00,616.26,616.33,615.41,615.56,409273.0,615.73,3316
2025-12-01 10:25:00-05:00,615.57,615.82,614.93,615.29,468425.0,615.385,4106
2025-12-01 10:30:00-05:00,615.31,615.47,614.25,614.41,503999.0,614.996,3740
2025-12-01 10:35:00-05:00,614.41,615.84,613.94,615.78,567293.0,615.063,4100
2025-12-01 10:40:00-05:00,615.79,616.16,615.13,615.54,300670.0,615.581,2724
2025-12-01 10:45:00-05:00,615.56,615.88,615.22,615.73,488974.0,615.67,2856
2025-12-01 10:50:00-05:00,615.76,617.53,615.66,617.36,514636.0,616.737,4221
2025-12-01 10:55:00-05:00,617.37,617.61,617.03,617.44,371591.0,617.368,2975
2025-12-01 11:00:00-05:00,617.43,617.57,617.19,617.38,255271.0,617.412,2118
2025-12-01 11:05:00-05:00,617.4,617.49,615.9,616.41,476330.0,616.533,3251
2025-12-01 11:10:00-05:00,616.44,616.64,615.78,615.92,342306.0,616.21,2984
2025-12-01 11:15:00-05:00,615.91,616.27,615.28,615.98,459183.0,615.702,3651
2025-12-01 11:20:00-05:00,615.99,616.68,615.99,616.4,243670.0,616.444,1870
2025-12-01 11:25:00-05:00,616.43,616.89,616.33,616.68,181038.0,616.586,1599
2025-12-01 11:30:00-05:00,616.68,617.2,616.66,617.03,223967.0,616.935,1934
2025-12-01 11:35:00-05:00,617.02,617.39,616.91,617.09,204803.0,617.168,1629
2025-12-01 11:40:00-05:00,617.1,617.96,616.86,617.7,382931.0,617.579,3081
2025-12-01 11:45:00-05:00,617.7,618.27,617.62,618.16,305476.0,618.034,2158
2025-12-01 11:50:00-05:00,618.16,618.36,617.92,617.96,269117.0,618.115,2291
2025-12-01 11:55:00-05:00,617.93,618.21,617.74,617.96,226998.0,617.928,1943
2025-12-01 12:00:00-05:00,617.99,618.48,617.92,618.47,273309.0,618.218,1967
2025-12-01 12:05:00-05:00,618.48,618.75,618.27,618.35,272362.0,618.528,2138
2025-12-01 12:10:00-05:00,618.35,618.63,618.14,618.17,210659.0,618.378,1714
2025-12-01 12:15:00-05:00,618.18,618.23,617.48,617.99,401286.0,617.885,3404
2025-12-01 12:20:00-05:00,617.97,618.34,617.83,618.21,158643.0,618.119,1352
2025-12-01 12:25:00-05:00,618.23,618.6,618.01,618.42,185774.0,618.353,1428
2025-12-01 12:30:00-05:00,618.42,618.57,618.13,618.44,189956.0,618.361,1445
2025-12-01 12:35:00-05:00,618.44,618.79,618.33,618.43,204636.0,618.611,1486
2025-12-01 12:40:00-05:00,618.43,619.11,618.39,619.11,252153.0,618.804,2151
2025-12-01 12:45:00-05:00,619.11,619.45,619.07,619.17,313690.0,619.276,2706
2025-12-01 12:50:00-05:00,619.17,619.18,618.6,618.65,277684.0,618.819,2357
2025-12-01 12:55:00-05:00,618.7,618.75,618.33,618.35,158584.0,618.55,1491
2025-12-01 13:00:00-05:00,618.35,618.88,618.27,618.72,202249.0,618.682,1768
2025-12-01 13:05:00-05:00,618.72,618.93,618.55,618.8,141113.0,618.731,1341
2025-12-01 13:10:00-05:00,618.77,619.16,618.74,618.97,218475.0,618.936,1792
2025-12-01 13:15:00-05:00,618.95,619.08,618.63,618.77,168369.0,618.838,1560
2025-12-01 13:20:00-05:00,618.79,618.81,618.45,618.72,142024.0,618.585,1253
2025-12-01 13:25:00-05:00,618.74,618.91,618.59,618.65,148918.0,618.757,1172
2025-12-01 13:30:00-05:00,618.68,618.9,618.67,618.86,136886.0,618.811,1156
2025-12-01 13:35:00-05:00,618.83,618.99,618.77,618.84,181943.0,618.889,1420
2025-12-01 13:40:00-05:00,618.84,618.93,618.6,618.84,142426.0,618.773,1312
2025-12-01 13:45:00-05:00,618.83,619.01,618.68,618.76,198784.0,618.886,1804
2025-12-01 13:50:00-05:00,618.76,619.2,618.76,619.12,245470.0,619.076,2181
2025-12-01 13:55:00-05:00,619.13,619.36,619.07,619.22,270517.0,619.265,2145
2025-12-01 14:00:00-05:00,619.21,619.25,618.53,618.57,315810.0,618.81,2393
2025-12-01 14:05:00-05:00,618.56,618.57,618.13,618.26,313676.0,618.342,2781
2025-12-01 14:10:00-05:00,618.24,618.37,617.91,618.31,274970.0,618.154,2549
