Symbol,Date,Qty,Entry,Exit,PnL $,Reason
QQQ,Feb 26, 04:22 PM,31,$612.19,$604.97,-$223.71,TRAILING_STOP
QQQ,Feb 19, 08:00 PM,25,$606.30,$602.97,-$83.23,STRATEGY_EXIT
QQQ,Feb 19, 08:00 PM,31,$602.24,$602.97,$22.53,SMA_CROSS
QQQ,Feb 10, 09:00 PM,31,$607.91,$611.58,$113.77,SMA_CROSS
QQQ,Feb 3, 03:43 PM,30,$627.60,$623.62,-$119.43,TRAILING_STOP
